Champion	Class1	Class2	Class3	GoldCost	Health	Armor	Magic resist	Vison range	Attack range	AttackDamage	Movement speed	Critical strike chance	Critical strike damage	Mana Start	Mana Cost	Ability				
Aatrox	Demon	BladeMaster	-	3	750	40 	40 	20	10	50	10	25 	150 	5	10	Damage All Enemies in range of 25 by 250				
Ahri	Wild	Sorcerer	Assassin	3	400	30 	30 	20	10	30	10	25 	150 	5	10	Damage All Enemies behind the target by 100 Magic + 100 True				
Akali	Ninja	Assassin	Imperial	6	350	25 	25 	20	10	30	10	25 	150 	2	4	Deals 10  of enemy max health				
Anivia	Glacial	Elementalist	Sorcerer	6	500	50 	50 	20	10	20	10	25 	150 	5	10	Damage All Enemies in range of 30 by 250 and stune the target				
Ashe	Glacial	Ranger		1	350	10 	10 	60	30	25	5	25 	200 	5	10	10  movement speed + deals 200 Damage to the enemy and stun it for two rounds				
Brand	Demon	Sorcerer	-	4	400	30 	30 	20	10	25	10	25 	150 	5	10	Damage up to 3 enemies by 10  of their max health and reduce their armor and magic resist by 10 				
Chogath	Void	Brawler		1	600	600	30 	25	15	35	10	25 	150 	5	10	Deals 150 True damage				
Darius	Imperial	Knight	Brawler	5	600	50 	50 	20	10	50	10	25 	150 	5	10	Deals 75 True damage for all enemies in  range of 20 and heals for the same amount				
Draven	Imperial	BladeMaster	Ranger	6	400	40 	40 	20	10	35	10	25 	150 	5	10	Deals 30  of enemy max health as true damage				
Evelynn	Demon	Assassin	-	3	500	25 	25 	20	10	20	10	25 	150 	5	8	Instant kill the enemy if its health less than 40  and travel back 20 squares				
Fiora	Noble	BladeMaster		1	500	40 	40 	20	10	45	10	25 	150 	5	10	Block all damage this round and stun the enemy				
Gankplank	Pirate	BladeMaster	Gunslinger	4	200	40 	40 	20	10	50	10	25 	150 	5	10	gains double range and double damage this round				
Garen	Noble	Knight	Brawler	5	600	50 	50 	20	10	50	10	25 	150 	5	10	deals same amount of enemy missig health				
Gnar	Wild	Yordle	Shapeshifter	4	450	30 	30 	20	10	45	10	25 	150 	5	10	Damage All Enemies behind the target by 100 Magic				
Graves	Imperial	Gunslinger	Pirate	4	200	20 	20 	60	30	30	5	25 	200 	5	10	Deals 300 damage and makes the enemy citical strike chance 0				
Karthus	Void	Sorcerer		4	450	30 	30 	20	10	50	10	25 	150 	5	10	deals 250 to all enemies				
